step	role	source_path	file_name	file_ext	size_bytes	sha256	release_path
code	analysis_script	/mnt/h/vir/ST/13d_plot_nicheformer_umap_by_RCTD_dominant_celltype.py	13d_plot_nicheformer_umap_by_RCTD_dominant_celltype.py	.py	13744	6ff78971aaa4438a0db482b36babe3e7fe9f1b4026f3bd887d72c18226900c47	github_repo_skeleton/scripts/13d_plot_nicheformer_umap_by_RCTD_dominant_celltype.py
code	analysis_script	/mnt/h/vir/ST/13d_visualize_strokeniche_adapter.py	13d_visualize_strokeniche_adapter.py	.py	2691	31c972bbbf3ed30e14c13a25550ffab11bb903508c4be7378972bf4dc4c3dfa4	github_repo_skeleton/scripts/13d_visualize_strokeniche_adapter.py
code	analysis_script	/mnt/h/vir/ST/13d_visualize_strokeniche_adapter_clean.py	13d_visualize_strokeniche_adapter_clean.py	.py	2941	ffaa214e810a95220ef8a9cc9a2e716ac2319f04d8feaa238e8ffc9dd52b07d1	github_repo_skeleton/scripts/13d_visualize_strokeniche_adapter_clean.py
code	analysis_script	/mnt/h/vir/ST/13e_plot_nicheformer_umap_by_injury_score.py	13e_plot_nicheformer_umap_by_injury_score.py	.py	10097	3b9432747978dbab4d9bb479863bbfe888eac17eca094571f494bf1786401577	github_repo_skeleton/scripts/13e_plot_nicheformer_umap_by_injury_score.py
code	analysis_script	/mnt/h/vir/ST/14_plot_scgpt_umap_by_region_auto.py	14_plot_scgpt_umap_by_region_auto.py	.py	8380	27dc0dfb90e175ad86d6545bca78a8aa6cde1651139d2514ab7b74824a835ea6	github_repo_skeleton/scripts/14_plot_scgpt_umap_by_region_auto.py
code	analysis_script	/mnt/h/vir/ST/15_plot_fig3F_frozen_baseline_summary.py	15_plot_fig3F_frozen_baseline_summary.py	.py	8282	01a5cafbf9d3ce55c009788a14ef640287ce40d1406c7ca950069b319297c493	github_repo_skeleton/scripts/15_plot_fig3F_frozen_baseline_summary.py
code	analysis_script	/mnt/h/vir/ST/16_audit_figure4_benchmark_sources.py	16_audit_figure4_benchmark_sources.py	.py	8817	7f70eee607b6c095ade1c4bc053d493a98575e1c4b41b747597d07f771735ad6	github_repo_skeleton/scripts/16_audit_figure4_benchmark_sources.py
code	analysis_script	/mnt/h/vir/ST/17_plot_fig4A_methods_matrix.py	17_plot_fig4A_methods_matrix.py	.py	7282	4d9b4bef6df6226d278a2a45546c3184e1483d9fceabd40de717adabdc124bd2	github_repo_skeleton/scripts/17_plot_fig4A_methods_matrix.py
code	analysis_script	/mnt/h/vir/ST/18_plot_fig4B_region_benchmark.py	18_plot_fig4B_region_benchmark.py	.py	4800	1b521a2c2f7a87497da4d3552aabf9d323aa67578882249f6e3106878b811a74	github_repo_skeleton/scripts/18_plot_fig4B_region_benchmark.py
code	analysis_script	/mnt/h/vir/ST/19_plot_fig4C_celltype_benchmark.py	19_plot_fig4C_celltype_benchmark.py	.py	3596	a525207185690f755a46f1df755136ccd2c41385bd582bbf4987d3bd4daae318	github_repo_skeleton/scripts/19_plot_fig4C_celltype_benchmark.py
